HY_id|HY_cod_postal|HY_provincia|HY_descripcion|HY_distribucion|HY_tipo|HY_antiguedad|HY_metros_utiles|HY_metros_totales|HY_num_banos|HY_cert_energ|HY_num_terrazas|HY_ascensor|HY_trastero|HY_num_garajes|HY_precio|HY_precio_anterior|IDEA_area|IDEA_poblacion|IDEA_densidad|IDEA_pc_1960|IDEA_pc_1960_69|IDEA_pc_1970_79|IDEA_pc_1980_89|IDEA_pc_1990_99|IDEA_pc_2000_10|IDEA_pc_comercio|IDEA_pc_industria|IDEA_pc_oficina|IDEA_pc_otros|IDEA_pc_residencial|IDEA_pc_trast_parking|IDEA_ind_tienda|IDEA_ind_turismo|IDEA_ind_alimentacion|IDEA_ind_riqueza|IDEA_rent_alquiler|IDEA_ind_elasticidad|IDEA_ind_liquidez|IDEA_unitprice_sale_residential|IDEA_price_sale_residential|IDEA_stock_sale_residential|IDEA_demand_sale_residential|IDEA_unitprice_rent_residential|IDEA_price_rent_residential|IDEA_stock_rent_residential|IDEA_demand_rent_residential|GA_page_views|GA_mean_bounce|GA_exit_rate|GA_quincena_ini|GA_quincena_ult
6029037|25660|Lérida|Plaza de garaje situada en la planta sótano de un edificio de cuatro plantas sobre rasante y dos bajo rasante, el cual dispone de ascensor. Se encuentra ubicada en el municipio de Alcoletge, en la provincia de Lleida. A 10 km de Lérida, cuenta con fácil acceso a través de la A-2 y C-13, y a su alrededor podemos encontrar granvariedad de servicios como comercios, centros educativos, centro de salud, cajeros, farmacias, bares y restaurantes.La plaza de garaje tiene una superficie útil entre 10  y 12 m².||Garaje||4.36|4.36|0||0|1|0|0|1100|1700|1652.52|3429|2.08|0.07|0.07|0.12|0.13|0.1|0.51|0.01|0.02|0.01|0.1|0.42|0.45|0|0.5|0.5|0.17|5.39|||820.96|131948.44|378|48.65|4.86|400|24|51.61|187|27|13.05|2|47
6029052|08788|Barcelona|Piso de cuatro dormitorios, dos baños y terraza situado en la primera planta de un edificio de tres alturas sobre rasante que no dispone de ascensor. Se encuentra situado en el municipio de Vilanova del Cami, provincia de Barcelona.La vivienda se distribuye en cuatro dormitorios, dos baños, salón-comedor, cocina independientey terraza. Cuenta con puerta de entrada normal y el resto de paso de madera, ventanas oscilobatientes de madera, armarios empotrados, persianas de plástico, pintura lisa y suelos de plaqueta.El inmueble se encuentraen una zona urbana con otras viviendas de ámbito residencial.Se encuentra en el municipio de Vilanova del Cami, muy próximo a la Residencia de Mayores, la Escuela Pública, al Ayuntamiento de la localidad y junto a laszonas más transitadas. El municipio dispone de supermercados, líneas de autobús, centros de ocio, educativos y restauración.|La vivienda se distribuye en cuatro dormitorios, dos baños, salón-comedor, cocina independiente y terraza.|Piso|1975||42|2|G|0|0|0|0|42400|46300|1027.76|9317|9.07|0.07|0.07|0.24|0.15|0.17|0.3|0.03|0.01|0|0.03|0.54|0.39|1|0|0|0.14|4.92|||910.93|137378.06|849|50.06|5.3|549.1|48|52.17|1396|36.17|15.26|1|47
6029065|43870|Tarragona|Piso formado por tres dormitorios y dos baños, situado en un edificio de seis alturas el cual dispone de ascensor. La vivienda se encuentra ubicada en el municipio de Amposta, en la provincia de Tarragona.Se distribuye en tres dormitorios, dos baños completos, cocina, salón-comedor y recibidor.Cuenta con puerta de entrada normal, suelo de cerámica, ventanas de aluminio, pintura lisa y cocina y baño alicatados con azulejos.Todo ellose encuentra en buen estado aunque hay que hacer una reforma de saneamiento.Está situado cerca del centro de la localidad, junto a otras viviendas de carácter residencial. Ubicada en el municipio de Amposta, en la provincia de Tarragona, en una zona tranquila y relajada que cuenta en su entorno con zona de ocio y situado cerca del rio Ebro.|Se distribuye en tres dormitorios, dos baños completos, cocina, salón-comedor y recibidor.|Piso|1980|94.5|108.68|2|F|0|1|0|0|64500|70900|64.54|5512|85.4|0.12|0.12|0.21|0.11|0.19|0.25|0.05|0.01|0.01|0.04|0.52|0.38|0|1|0|0.19|6.22|5|-1|684.14|81525.33|684|49.31|4.28|312.17|9|52.91|302|17.78|10.31|1|47
6029171|28043|Madrid|Plaza de garaje situada en la Calle Ulises, en la provincia de Madrid. Dispone de una superficie aproximadaentre 15 m² y 25 m².||Garaje|2010|23.78|23.78|0||0|0|0|0|17800|22800|251.9|40451|160.58|0.09|0.09|0.39|0.19|0.13|0.1|0.03|0|0.01|0.03|0.61|0.31|0.3|0.14|0.56|0.6|3.45|3.5|1|3576.35|638612.78|1284|51.48|12.37|2241.44|1062|52.26|564|28.13|17.38|1|47
6029195|46760|Valencia|Piso de cuatro dormitorios y un baño, se encuentra en una tercera planta de un edificio de cuatro alturas queno dispone de ascensor. Se encuentra situado en el Municipio de Tavernes de la Valldigna, en la provincia de Valencia. La vivienda se compone de vestíbulo, estar comedor, cuatro dormitorios, un baño y cocina. Cuenta con anejo de garajeEl piso cuenta con puerta de entrada normal y el resto en madera barnizada buen estado, suelos de cerámica, carpintería exterior de aluminio. Inmueble situado en área urbana consolidada aparentemente conforme al planeamiento urbanístico vigente y no afectado por protección del patrimonio arquitectónico de unaantigüedad de unos 40 años.Se encuentra situado en la Calle Imelda Altur . Cuenta con servicios de transporte de Ferrocarril (Tavernes de la Valldigna) línea C-1, Autobuses urbanos, fácil acceso por carretera CV-50 CV-600, CV-405, E-15, zonas residenciales, Instalaciones Deportivas, Centros Educativos, Colegios, Institutos y Centros Sanitarios.|La vivienda se compone de vestíbulo, estar comedor, cuatro dormitorios, un baño y cocina. Cuenta con anejo degaraje|Piso|1975|89.94|110.62|1|E|0|0|0|1|59500|65500|4906.99|17336|3.53|0.15|0.15|0.24|0.14|0.15|0.18|0.01|0|0|0.02|0.49|0.47|0.37|0.33|0.29|0.13|4.65|4.66666666666667|-0.666666666666667|959.58|122344.47|2613|49.03|4.98|486.12|147|51.29|493|18.43|11.45|1|47
6029210|46190|Valencia|Ático de un dormitorio y un baño. Se encuentra en la cuarta planta de un edificio residencial de cinco alturas sobre rasante, el cual dispone de ascensor, situado en la localidad de Riba-roja del Turia.La vivienda está distribuida en un dormitorio, un baño, salón-comedor- cocina office amueblada y distribuidor. Cuenta con puerta de entrada blindada, ventanas de aluminio lacado en blanco con doble hoja de vidrio, persianas de plástico, la carpintería interior es de madera de roble barnizada, tiene pintura lisa en paredes del salón-comedor, dormitorios y distribuidor y alicatados en cocina y baño. Los techos son de pintura en todas las estancias a excepción de la cocina y baños que son de escayola. El pavimento es de gres. La cocina está amueblada y disponede horno, vitro y campana extractora. El baño dispone de sanitarios de porcelana y grifería mono-mando, todo ello en buen estado de conservación. Se encuentra en un edificio de viviendas entre medianeras compuesto de planta sótano, planta baja y cuatro plantas altas con dos viviendas por planta y rodeado de viviendas de similares características.El inmueble se ubica en la zona Barranco de los Moros. Tiene fácil acceso por carreteray está próximo al centro de la localidad y a su centro de salud. Cuenta a su alrededor con gran variedad de servicios, como supermercados, restaurantes, colegios, cajeros.|La vivienda está distribuida en un dormitorio, un baño, salón-comedor- cocina office amueblada y distribuidor.|Piso|2009|36|40|1|E|0|1|0|0|57500|63200|5750.19|21649|3.76|0.05|0.05|0.16|0.16|0.21|0.38|0.01|0.01|0.02|0.11|0.42|0.44|0.58|0.08|0.33|0.25|4.84|3.33333333333333|0|1070.95|166040.62|2169|49.64|4.75|645.87|213|51.79|576|32.02|17.46|1|47
6029241|46193|Valencia|Vivienda de dos dormitorios y dos baños, se encuentra en un edificio de tres alturas que dispone de ascensor.Se encuentra situado en el Municipio de Montroy, en la provincia de Valencia. La vivienda se compone de vestíbulo, estar comedor, dos dormitorios, dos baños, cocina y galería.El piso cuenta con puerta de entrada blindada y el resto barnizada y en buen estado, climatización por conductos, suelos de parquet y gres, carpintería exterior de aluminio. Inmueble situado en área urbana consolidada aparentemente conforme al planeamiento urbanístico vigente y no afectado por protección del patrimonio arquitectónico de una antigüedad de unos 7 años.Se encuentra situado en la Calle Primero de Mayo . Cuenta con servicios de transporte de Autobuses urbanos,fácil acceso por carretera CV-50 y CV-405, ocio, pequeños comercios en la zona.|La vivienda se compone de vestíbulo, estar comedor, dos dormitorios, dos baños, cocina y galería.|Piso|2009|76.87|93.54|2|E|0|1|0|0|70800||3140.72|1812|0.58|0.07|0.07|0.11|0.17|0.16|0.41|0|0|0|0.23|0.35|0.42|0|1|0|0.15|5.37|2|0|773.81|107132.18|1002|48.57|3.68|490.46|78|52.14|220|7.09|9.03|4|47
6029247|46440|Valencia|Plaza de garaje situada en la Calle Rey Don Jaime, en el municipio de Almusafes, en la provincia de Valencia.!Dispone de una superficie aproximada entre 10 m² y 15 m².||Garaje|2010|9.9|43.51|0||0|0|0|0|13400||1079.41|8935|8.28|0.08|0.08|0.2|0.2|0.15|0.3|0.02|0.02|0.02|0.03|0.46|0.44|1|0|0|0.16|4.6|||1085.75|186440|372|48.32|3.74|410|21|51.61|2|0|0|3|3
6029313|46830|Valencia|Trastero situado en la Calle Dos de Mayo, en el municipio de Ontinyent, en la provincia de Valencia. Dispone de una superficie aproximada entre 5 m² y 15 m².||Trastero|2009|9.9|42.47|0||0|0|0|0|8500||3365.47|5857|1.74|0.16|0.16|0.19|0.14|0.16|0.17|0.02|0.01|0.01|0.04|0.43|0.49|0.5|0.25|0.25|0.11|6.48|3|0|709.75|116153.57|417|47.43|3.33|350|3|52.56|12|0|7.41|4|41
6029317|46260|Valencia|Plaza de garaje situada en la Calle Ramón y Cajal, en el municipio de Alberique, provincia de Valencia. Dispone de una superficie aproximada entre 25 m² y 30 m².||Garaje||25|26.69|0||0|0|1|0|4800|7100|2679.9|10496|3.92|0.21|0.21|0.14|0.14|0.11|0.19|0.02|0.01|0.01|0.05|0.47|0.44|1|0|0|0.13|6.07|2|0|733.02|112582.82|1236|48.88|5.36|579.38|21|51.19|11|42.86|50|4|44
6029323|46960|Valencia|Plaza de garaje situada en la Calle Escultor Meliton Comes, municipio de Aldaya, provincia de Valencia. Dispone de una superficie aproximada entre 10 m² y 25 m².||Garaje|2004|9.9|23.84|0||0|0|0|0|8300|11700|1599.82|31304|19.57|0.06|0.06|0.21|0.11|0.18|0.38|0.02|0.01|0.02|0.02|0.51|0.44|0.47|0.15|0.38|0.15|4.54|3|0|1025.17|143823.58|1758|50.02|5.01|578.63|252|52.01|8|0|7.14|1|38
6029385|29500|Málaga|Plaza de garaje situada en la planta sótano de un edificio residencial de cuatro alturas sobre rasante y cuatro sótanos, ubicado en la localidad de Álora, provincia de Málaga.La plaza de garaje mide aproximadamente 9,90 m² construidos. Algunas de las plazas tienen como anejo inseparable un trastero.||Garaje|2009|9.9|9.9|0||0|0|0|0|6100|6600|16925.67|12894|0.76|0.18|0.18|0.14|0.11|0.13|0.26|0.02|0|0|0.15|0.55|0.27|0.27|0.33|0.4|0.17|4.13|||801.43|120428|654|48.68|3.64|485.71|15|51.7|40|0|3.02|14|47
6029421|46550|Valencia|Plaza de garaje situada en la Calle Joan de Joanes, en el municipio de Albuixech, provincia de Valencia. Dispone de una superficie aproximada entre 10 m² y 25 m².||Garaje|2007|9.9|24.77|0||0|0|0|0|6200|8400|443.18|3854|8.7|0.14|0.14|0.17|0.07|0.12|0.35|0.01|0.01|0.01|0.02|0.49|0.46|0.5|0.5|0|0.15|5.01|||964|157700|459|49.92|5.65|620|27|52.17|24|8.33|1.67|2|47
6029433|29320|Málaga|Plaza de garaje situada en la planta sótano de un edificio residencial de dos alturas sobre rasante y un sótano, ubicado en la localidad de Campillos, provincia de Málaga.La plaza de garaje mide aproximadamente entre 15 m² y 16 m² construidos.||Garaje|2008|15.2|16.2|0||0|0|1|0|7900||||||||||||||||||||||||||||||||2|0|0|17|39
6029648|46740|Valencia|Casa unifamiliar que consta de dos plantas, compuesta tres dormitorios y un baño. Se encuentra situado en el municipio de Carcaixent, provincia de Valencia.La vivienda está compuesta por dos plantas. La planta baja consta de un dormitorio, cocina, un cuarto de baño y salón. La planta primera consta de dos dormitorios y una sala.El inmueble se encuentra en estado de reforma integral. Residencia unifamiliar antigua construida en 1956. Se encuentra en el municipio de Carcaixent, provincia de Valencia, zona que cuenta con restauración,supermercados (Eroski, Dia), centros de ocio (Centro Comercial Ribera Del Xúquer) y buena comunicación.|La vivienda está compuesta por dos plantas. La planta baja consta de un dormitorio, cocina, un cuarto de baño y salón. La planta primera consta de dos dormitorios y una sala.|Casa de pueblo|1956|86.4|108|1||0|0|0|0|21000|25000|5903.26|20514|3.48|0.2|0.2|0.15|0.13|0.11|0.22|0.02|0|0.01|0.05|0.5|0.42|0.25|0.75|0|0.1|5.96|4.33333333333333|0|641.44|85223.22|1566|49.04|3.02|610.35|57|52.08|1298|31.54|19.3|1|47
6029670|46169|Valencia|||Casa de pueblo||147.22|177.91|2||0|0|0|0|99400|110000|3013.91|397|0.13|0.24|0.24|0.23|0.1|0.13|0.07|0.01|0|0|0.03|0.47|0.49|0.37|0.12|0.5|0.14||||520.89|92592.31|99|48.32||||0|809|15.94|8.67|1|47
6029839|04610|Almería|Trastero situado en la planta sótano 1 dentro del Residencial Royal Almanzor, promoción de obra nueva, ubicado en la Pedanía Pozo del Esparto, término municipal de Cuevas de Almazora, provincia de Almería.||Trastero|||39.63|0||0|0|0|0|11000|12400|26166.99|13513|0.52|0.11|0.11|0.12|0.12|0.11|0.45|0.01|0.05|0|0.09|0.52|0.32|0.17|0.67|0.17|0.15|4.5|3|0|996.36|128442.19|1521|48.55|3.96|419.35|33|51.07|34|5|10|9|47
6029872|04838|Almería|Casa unifamiliar compuesta por tres alturas y formada por tres dormitorios, dos baños y garaje privado situada en el municipio de María, en la provincia de Almería.Se distribuye en tres plantas. La planta sótano está dedicada al garaje. La planta baja, consta de porche de entrada, salón comedor, cocina con despensa, un lavadero, tres dormitorios y un vestidor. La última planta está a modo de solar.Cuenta con puerta de entrada normal, suelos de plaqueta, ventanas de climalit, pintura lisa, y los baños y la cocina alicatados con azulejos. Todo ello se encuentra en buen estado de conservación.La vivienda se encuentra junto al casco antiguo de la localidad, junto a otras viviendas de carácter residencial.Ubicada en el municipio de María, en la provincia de Almería, en una zona de interior de la costa y tranquila.|Se distribuye en tres plantas. La planta sótano está dedicada al garaje. La planta baja, consta de porche de entrada, salón comedor, cocina con despensa, un lavadero, tres dormitorios y un vestidor. La última planta está a modo de solar.|Casa de pueblo|2006||242.5|2|F|0|0|0|1|194000|213000|22603.63|1294|0.06|0.23|0.23|0.1|0.18|0.13|0.12|0.01|0.01|0|0.09|0.49|0.4|0|0|1|0.18||||702.07|122000|33|47.26||||0|482|13.49|13.49|1|47
6029884|04620|Almería|Trastero situado en la planta sótano 1 dentro del Edificio Bayra I de tres alturas de obra nueva, ubicado en el municipio de Vera, provincia de Almería.||Trastero|2007|3.36|4.19|0||0|0|0|0|1100|1900|1624.43|6924|4.26|0.01|0.01|0.01|0.16|0.17|0.64|0.04|0.01|0.01|0.04|0.55|0.35|0.5|0.37|0.12|0.11|4.52|4|0|940.43|126305.16|1782|49.21|3.93|409.67|72|51.32|63|6.17|17.11|2|47
6029909|04800|Almería|Plaza de garaje nº 68 situado en el sótano 2 dentro de un edificio plurifamiliar de cuatro alturas de obra nueva, ubicado en el municipio de Albox, provincia de Almería.||Garaje|||19|0||0|0|0|0|6300|8100|16799.14|11483|0.68|0.12|0.12|0.17|0.14|0.14|0.31|0.02|0.01|0|0.09|0.45|0.43|0.4|0.2|0.4|0.1|5.91|4|-1|680.93|88881.25|1335|47.58|3.74|400|102|50.66|9|0|14.29|11|42
6029911|04800|Almería|Plaza de garaje nº 34 situado en el sótano 2 dentro de un edificio plurifamiliar de cuatro alturas de obra nueva, ubicado en el municipio de Albox, provincia de Almería.||Garaje|||17|0||0|0|0|0|5800|7300|16799.14|11483|0.68|0.12|0.12|0.17|0.14|0.14|0.31|0.02|0.01|0|0.09|0.45|0.43|0.4|0.2|0.4|0.1|5.91|4|-1|680.93|88881.25|1335|47.58|3.74|400|102|50.66|11|0|0|9|43
6030067|46729|Valencia|Plaza de garaje situada en la Calle De La Murtera, en el municipio de Ador, provincia de Valencia. Dispone de una superficie aproximada entre 10 m² y 35 m².||Garaje|2010||28.2|0||0|0|0|0|6300|7300|1363.7|1413|1.04|0.19|0.19|0.1|0.05|0.13|0.33|0.01|0.01|0|0.1|0.49|0.39|0|0|0|0.15|4.17|||724.82|131774.19|465|48.95|4.34|525|6|50.41|8|0|8.33|1|46
6030165|35003|Las Palmas|Local comercial situado en la provincia de Las Palmas de Gran Canaria. Se encuentra en planta baja de un edificio de cuatro alturas.Se distribuye en una sola planta compuesta de aseo y una oficina. Tiene una superficie construida de 144 m2.Se encuentra en buen estado de conservación. Se ubica en el centro de la ciudad, junto a otras oficinas y viviendas.Situado en la provincia de Las Palmas de Gran Canaria, en primera línea de playa||Local|1979|139.8|159|0|G|0|0|0|0|106000|116000|119.25|26455|221.85|0.14|0.14|0.37|0.16|0.09|0.09|0.04|0|0.04|0.07|0.49|0.37|0.77|0.01|0.22|0.32|5.04|4|1|1896.68|254290.41|909|51.13|9.72|1387.67|1089|51.52|572|34.57|19.72|1|43
